player,mean_shap
20,4.132157892281261e-05
16,4.1310660462976596e-05
17,4.127121250946329e-05
8,1.4395054740162608e-05
24,1.2300736794926871e-05
1,9.251933936567663e-06
27,8.89925769695936e-06
21,7.72079143714669e-06
2,-2.906696891469759e-06
6,-3.6080848601951784e-06
23,-4.422062013864462e-06
4,-5.003907754362922e-06
19,-5.419315480965863e-06
11,-5.894639732442445e-06
14,-9.371088268311455e-06
10,-1.683160491883655e-05
13,-1.8666200725027183e-05
26,-2.7501591084161224e-05
3,-5.503064572532227e-05
